"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-10 14:02:50",1762783370519,"accounting.siamoon.com/","GET","",200,"fn6lx-1762783370261-818889955ffe","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","PRERENDER","static","/","accounting.siamoon.com","accounting.siamoon.com","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",-1,"",-1,-1,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","","",-1
"2025-11-10 14:02:45",1762783365348,"accounting.siamoon.com/api/pnl","GET","",200,"pb79j-1762783365271-ade048ed67d7","node","info","production","main","","lambda","/api/pnl","accounting.siamoon.com","accounting.siamoon.com","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",1535,"iad1",126,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q17274QYFAK7GHPZAQC1PD","VDVWkMX2nHDP",1
"2025-11-10 14:02:45",1762783365337,"accounting.siamoon.com/api/inbox","GET","",200,"9htwn-1762783365252-e692174ddce5","node","info","production","main","","lambda","/api/inbox","accounting.siamoon.com","accounting.siamoon.com","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",4879,"iad1",94,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q172589SXQJCCVDR943TAD","KP4LBPhWMdj1",2
"2025-11-10 14:02:45",1762783365332,"accounting.siamoon.com/api/balance","GET","",200,"4c79j-1762783365286-c9db00742a31","node","info","production","main","","lambda","/api/balance","accounting.siamoon.com","accounting.siamoon.com","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",15,"iad1",276,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q1726MB0B96T6SD6DFS3P7","wxvXtKSwNqkR",1
"2025-11-10 14:02:45",1762783365288,"accounting.siamoon.com/api/pnl/overhead-expenses","GET","period=month",200,"q8s5f-1762783365237-6281c7b2ce3f","node","info","production","main","","lambda","/api/pnl/overhead-expenses","accounting.siamoon.com","accounting.siamoon.com","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",3798,"iad1",126,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q172589SXQJCCVDR943TAD","KP4LBPhWMdj1",2
"2025-11-10 14:02:45",1762783365276,"accounting.siamoon.com/api/pnl/property-person","GET","period=month",200,"bqcn4-1762783365220-927336a99213","node","info","production","main","","lambda","/api/pnl/property-person","accounting.siamoon.com","accounting.siamoon.com","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",5206,"iad1",131,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q1724W43Z2BYDFDXXN2HNR","ejQ3ZkmM9vFX",1
"2025-11-10 14:02:45",1762783365157,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/api/reports/generate","POST","",200,"99m9f-1762783364794-9a53477dd59c","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","","lambda","/api/reports/generate","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",5362,"iad1",181,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q17215XYTS2S2Q7JBBEE2X","w5UAIVV9iPbe",1
"2025-11-10 14:02:44",1762783364858,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/api/reports/templates","GET","workspace=default",-1,"7tzs2-1762783363542-b4f1f0a34a6b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","error","production","main","","lambda","/api/reports/templates","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",-1,"iad1",-1,-1,"Templates GET error: [Error: 5 NOT_FOUND: ] { code: 5, details: '', metadata: [Metadata] }","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q16TV11MW9WKBJA7GKSDNZ","",-1
"2025-11-10 14:02:43",1762783363943,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/api/reports/templates","GET","workspace=default",500,"7tzs2-1762783363542-b4f1f0a34a6b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","error","production","main","","lambda","/api/reports/templates","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",924,"iad1",123,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q16TV11MW9WKBJA7GKSDNZ","w5UAIVV9iPbe",2
"2025-11-10 14:02:38",1762783358499,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/admin","GET","",200,"25h6d-1762783357953-a7366a188afc","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","PRERENDER","static","/admin","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",-1,"",-1,-1,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","","",-1
